Wall time,Step,Value
1600692206.3151984,180,0.800000011920929
1600692227.636418,240,0.6000000238418579
1600692281.1134765,400,1.0
1600692288.4358954,420,0.4000000059604645
1600692298.058446,450,0.800000011920929
1600692333.8994958,560,1.0
1600692382.0662508,710,0.4000000059604645
1600692391.1177688,740,1.0
1600692453.2213206,940,1.0
1600692490.1934354,1060,0.6000000238418579
1600692552.2579854,1260,1.0
1600692643.1431837,1550,1.0
1600692652.0546935,1580,0.800000011920929
1600692680.1523004,1670,1.0
1600692729.8261416,1830,0.800000011920929
1600692735.9604924,1850,0.6000000238418579
1600692871.2662315,2290,1.0
1600692887.3491514,2340,1.0
1600692932.9287584,2490,1.0
1600692952.099855,2550,0.6000000238418579
1600692967.3057246,2600,1.0
1600692989.0569687,2670,0.800000011920929
1600693008.1640618,2730,0.6000000238418579
1600693116.8712795,3080,0.6000000238418579
1600693122.8886237,3100,0.4000000059604645
1600693148.0310614,3180,0.4000000059604645
1600693212.8917713,3390,0.800000011920929
1600693237.8641996,3470,0.800000011920929
1600693299.849745,3670,0.800000011920929
1600693468.3503826,4210,1.0
1600693471.2835505,4220,1.0
1600693523.216521,4390,1.0
1600693533.2930973,4420,0.800000011920929
1600693542.185606,4450,0.6000000238418579
1600693588.1982377,4600,0.6000000238418579
1600693598.079803,4630,1.0
1600693601.3299887,4640,0.800000011920929
1600693632.3997657,4740,0.800000011920929
1600693691.2071292,4930,1.0
1600693756.0408375,5140,1.0
1600693809.5668993,5310,0.800000011920929
1600693824.4487503,5360,1.0
1600693907.4644988,5630,1.0
1600693938.2832615,5730,0.800000011920929
1600693956.045277,5790,1.0
1600693978.2265458,5860,1.0
1600693981.2457187,5870,1.0
1600694083.1695483,6200,1.0
1600694090.5519705,6220,0.800000011920929
1600694127.6980953,6340,1.0
1600694150.3233895,6410,0.4000000059604645
1600694153.5335732,6420,1.0
1600694159.6969254,6440,1.0
1600694168.5654328,6470,0.800000011920929
1600694174.496772,6490,1.0
1600694213.1259813,6610,0.6000000238418579
1600694244.4247715,6710,1.0
1600694377.4873824,7140,1.0
1600694402.8808348,7220,0.800000011920929
1600694426.8752072,7300,1.0
1600694454.7478013,7390,0.800000011920929
1600694496.3001783,7520,0.800000011920929
1600694508.272863,7560,0.800000011920929
1600694536.268464,7650,1.0
1600694548.1821456,7690,1.0
1600694555.273551,7710,1.0
1600694561.213891,7730,1.0
1600694582.1640892,7800,1.0
1600694598.2250078,7850,1.0
1600694604.3203566,7870,0.800000011920929
1600694620.6972933,7920,0.6000000238418579
1600694626.8456447,7940,0.800000011920929
1600694638.8273304,7980,1.0
1600694652.0710876,8020,0.800000011920929
1600694670.1381211,8080,0.6000000238418579
1600694673.2693002,8090,0.800000011920929
1600694745.9294562,8320,0.800000011920929
1600694757.7791338,8360,0.800000011920929
1600694860.5110097,8690,1.0
1600694882.7202802,8760,1.0
1600694901.8743756,8820,1.0
1600694944.7278266,8960,0.800000011920929
1600694956.5975056,9000,0.800000011920929
1600694978.5077589,9070,0.6000000238418579
1600694984.5881064,9090,1.0
1600695010.0245614,9170,1.0
1600695054.1200838,9310,1.0
1600695057.2342618,9320,0.4000000059604645
1600695088.3630424,9420,1.0
1600695097.3555567,9450,1.0
1600695126.0221963,9540,1.0
1600695151.1856353,9620,1.0
1600695179.1672359,9710,1.0
1600695182.085403,9720,0.800000011920929
1600695200.025429,9780,0.800000011920929
1600695203.0416012,9790,0.800000011920929
1600695218.839505,9840,1.0
1600695274.9467142,10020,0.800000011920929
1600695283.773219,10050,1.0
1600695311.94283,10140,1.0
1600695405.2201655,10440,0.800000011920929
1600695445.3274593,10570,0.800000011920929
1600695464.2685428,10630,0.800000011920929
1600695473.2980592,10660,0.800000011920929
1600695479.326404,10680,1.0
1600695492.5461602,10720,0.6000000238418579
1600695510.2271714,10780,1.0
1600695526.9391272,10830,0.800000011920929
1600695558.2859201,10930,1.0
1600695576.204945,10990,1.0
1600695592.1748586,11040,0.800000011920929
1600695623.8286688,11140,1.0
1600695754.3691356,11560,0.800000011920929
1600695766.182811,11600,0.800000011920929
1600695770.2270427,11610,1.0
1600695773.2022126,11620,1.0
1600695829.3214226,11800,1.0
1600695870.414773,11930,1.0
1600695910.9970942,12060,1.0
1600695992.8997788,12320,1.0
1600696030.4799283,12440,0.800000011920929
1600696064.2558599,12550,1.0
1600696073.6483972,12580,0.800000011920929
1600696083.7679763,12610,0.800000011920929
1600696145.9915352,12810,1.0
1600696164.0035653,12870,1.0
1600696186.3868454,12940,1.0
1600696204.4158766,13000,1.0
1600696254.0477157,13160,0.800000011920929
1600696263.2232401,13190,1.0
1600696297.5462034,13300,1.0
1600696307.8647935,13330,1.0
1600696317.0583196,13360,0.6000000238418579
1600696320.072492,13370,1.0
1600696469.295027,13850,1.0
1600696478.1635342,13880,0.800000011920929
1600696488.2431107,13910,1.0
1600696491.2392821,13920,0.800000011920929
1600696559.845206,14140,1.0
1600696597.0093317,14260,1.0
1600696628.3801262,14360,0.800000011920929
1600696640.1107972,14400,1.0
1600696717.8402429,14650,1.0
1600696720.9284196,14660,1.0
1600696754.8593602,14770,0.800000011920929
1600696780.0277998,14850,1.0
1600696791.9244802,14890,1.0
1600696799.1508934,14910,0.800000011920929
1600696898.4645739,15230,0.800000011920929
1600696910.5172634,15270,1.0
1600696989.1607616,15520,0.800000011920929
1600697038.157564,15680,1.0
1600697041.183737,15690,1.0
1600697088.5904486,15840,0.800000011920929
1600697100.5481327,15880,0.800000011920929
1600697151.3540385,16040,1.0
1600697154.3322089,16050,1.0
1600697222.53611,16270,0.800000011920929
1600697238.7730386,16320,1.0
1600697253.7608957,16370,1.0
1600697262.7934127,16400,0.6000000238418579
1600697278.869332,16450,1.0
1600697288.2658694,16480,1.0
1600697326.03903,16600,0.800000011920929
1600697351.2654727,16680,0.6000000238418579
1600697373.371737,16750,0.800000011920929
1600697395.7340162,16820,0.800000011920929
1600697424.4836605,16910,1.0
1600697436.4373443,16950,0.800000011920929
1600697442.4856904,16970,0.800000011920929
1600697448.6630435,16990,0.800000011920929
1600697458.9756334,17020,0.6000000238418579
1600697479.8698287,17090,1.0
1600697507.9244332,17180,1.0
1600697539.310228,17280,1.0
1600697552.856003,17320,1.0
1600697558.8913481,17340,0.800000011920929
1600697567.9798682,17370,0.800000011920929
1600697584.09679,17420,1.0
1600697593.136307,17450,1.0
1600697596.1844814,17460,1.0
1600697658.3750384,17660,1.0
1600697683.6264827,17750,1.0
1600697700.7714634,17810,1.0
1600697719.7465487,17880,1.0
1600697722.4457033,17890,1.0
1600697747.9801636,17980,1.0
1600697767.8673012,18050,1.0
1600697826.806672,18260,0.800000011920929
1600697837.660293,18300,1.0
1600697865.4058797,18400,0.6000000238418579
1600697877.0295446,18440,0.800000011920929
1600697902.2919898,18530,1.0
1600697938.1930432,18660,1.0
1600697946.2065015,18690,1.0
1600697963.1794724,18750,1.0
1600697968.593782,18770,1.0
1600698063.863231,19110,1.0
1600698079.9751527,19170,1.0
1600698127.4398675,19340,1.0
1600698155.1654532,19440,0.800000011920929
1600698163.1629107,19470,1.0
1600698168.5822206,19490,1.0
1600698218.346067,19670,1.0
1600698257.3622987,19810,1.0
1600698262.666602,19830,1.0
1600698312.1684334,20010,1.0
1600698322.8490443,20050,1.0
1600698345.0103116,20130,1.0
1600698391.2809582,20300,1.0
1600698408.2409282,20360,1.0
1600698473.919685,20600,0.800000011920929
1600698510.37877,20730,0.6000000238418579
1600698518.3552265,20760,1.0
1600698521.007378,20770,1.0
1600698526.3036811,20790,1.0
1600698532.5190368,20810,0.800000011920929
1600698543.1836467,20850,1.0
1600698553.872258,20890,1.0
1600698573.3933744,20960,1.0
1600698614.9887536,21110,0.800000011920929
1600698708.046076,21450,0.800000011920929
1600698718.6686838,21490,1.0
1600698738.3708105,21560,0.800000011920929
1600698763.749262,21650,1.0
1600698797.5121932,21770,1.0
1600698824.919761,21870,0.800000011920929
1600698830.200063,21890,1.0
1600698836.5024235,21910,0.800000011920929
1600698849.7271798,21960,0.6000000238418579
1600698857.6586335,21990,0.800000011920929
1600698879.8429024,22070,0.800000011920929
1600698891.4795678,22110,0.800000011920929
1600698946.9397402,22310,0.800000011920929
1600698960.2635021,22360,1.0
1600698962.915654,22370,0.800000011920929
1600698968.2619598,22390,0.800000011920929
1600698977.1294668,22420,1.0
1600698987.7910767,22460,0.800000011920929
1600698990.4592292,22470,0.6000000238418579
1600699010.1353545,22540,1.0
1600699018.1408126,22570,1.0
1600699032.4226294,22620,1.0
1600699084.8566284,22810,1.0
1600699112.5872147,22910,0.800000011920929
1600699128.6031306,22970,1.0
1600699145.5751014,23030,0.800000011920929
1600699156.2037091,23070,1.0
1600699189.310603,23190,1.0
1600699191.9557543,23200,1.0
1600699261.5797365,23450,1.0
1600699286.3691542,23540,0.800000011920929
1600699382.4076474,23890,1.0
1600699385.058799,23900,1.0
1600699391.3421586,23920,0.6000000238418579
1600699512.058063,24360,1.0
1600699534.2033298,24440,0.800000011920929
1600699553.685444,24510,0.6000000238418579
1600699558.9717462,24530,0.800000011920929
1600699564.3710551,24550,1.0
1600699577.6098125,24600,0.6000000238418579
1600699646.876774,24850,1.0
1600699649.5339262,24860,1.0
1600699677.0535002,24960,1.0
1600699682.367804,24980,1.0
1600699696.6286197,25030,0.800000011920929
1600699734.621793,25170,1.0
1600699751.5167594,25230,1.0
1600699776.3851817,25320,1.0
1600699817.1235118,25470,0.800000011920929
1600699828.720175,25510,1.0
1600699834.029479,25530,1.0
1600699902.4743936,25780,1.0
1600699935.3752756,25900,1.0
1600699962.917851,26000,1.0
1600699979.7208118,26060,1.0
1600700026.7515018,26230,1.0
1600700042.7344158,26290,0.800000011920929
1600700045.4415708,26300,1.0
1600700084.4918044,26440,1.0
1600700100.4247158,26500,0.800000011920929
1600700114.6065266,26550,1.0
1600700177.7871406,26780,1.0
1600700197.4852672,26850,1.0
1600700210.965038,26900,0.800000011920929
1600700247.6041338,27030,1.0
1600700266.2902026,27100,1.0
1600700308.3326073,27250,1.0
1600700341.4525018,27370,1.0
1600700349.4109569,27400,1.0
1600700388.3971868,27540,1.0
1600700484.3536754,27890,1.0
1600700487.0168273,27900,1.0
1600700490.6240337,27910,1.0
1600700539.6568384,28090,1.0
1600700581.7252445,28240,0.800000011920929
1600700713.9818091,28720,1.0
1600700738.9672382,28810,1.0
1600700762.9816117,28900,1.0
1600700780.0065856,28960,0.6000000238418579
1600700838.3179207,29170,0.800000011920929
1600700843.6992288,29190,1.0
1600700846.398383,29200,0.6000000238418579
1600700978.053913,29670,1.0
1600701000.5922022,29750,1.0
1600701064.9168813,29980,1.0
1600701090.0213175,30070,0.6000000238418579
1600701101.6109803,30110,1.0
1600701112.3155925,30150,1.0
1600701145.3314807,30270,1.0
1600701153.3839414,30300,1.0
1600701175.810224,30380,0.800000011920929
1600701184.7147336,30410,1.0
1600701250.4104912,30650,1.0
1600701261.1011026,30690,1.0
1600701267.299457,30710,0.6000000238418579
1600701343.8508358,30990,1.0
1600701408.0935102,31220,0.800000011920929
1600701449.1028557,31370,1.0
1600701471.4111316,31450,1.0
1600701484.7418942,31500,1.0
1600701499.2277224,31550,1.0
1600701516.2666972,31610,1.0
1600701560.0021987,31770,1.0
