,Step,Value
0,180,0.8000000119209291
1,240,0.7900000125169755
2,400,0.8005000118911267
3,420,0.7804750115945936
4,450,0.7814512616109104
5,560,0.7923786985303649
6,710,0.77275976390187
7,740,0.7841217757067764
8,940,0.7949156869214377
9,1060,0.7851699037674587
10,1260,0.7959114085790857
11,1550,0.8061158381501314
12,1580,0.8058100468386713
13,1670,0.8155195444967377
14,1830,0.8147435678679472
15,1850,0.8040063906666427
16,2290,0.8138060711333106
17,2340,0.8231157675766451
18,2490,0.8319599791978128
19,2550,0.820361981430015
20,2600,0.8293438823585143
21,2670,0.827876688836635
22,2730,0.8164828555868962
23,3080,0.8056587139996442
24,3100,0.7853757785976853
25,3180,0.7661069899658243
26,3390,0.7678016410635795
27,3470,0.7694115596064469
28,3670,0.770940982222171
29,4210,0.7823939331110624
30,4220,0.7932742364555093
31,4390,0.8036105246327339
32,4420,0.8034299989971436
33,4450,0.7932585002393793
34,4600,0.7835955764195032
35,4630,0.794415797598528
36,4640,0.794695008314648
37,4740,0.794960258494962
38,4930,0.8052122455702139
39,5140,0.8149516332917032
40,5310,0.8142040522231645
41,5360,0.8234938496120063
42,5630,0.832319157131406
43,5730,0.8307031998708821
44,5790,0.839168039877338
45,5860,0.8472096378834711
46,5870,0.8548491559892976
47,6200,0.8621066981898327
48,6220,0.8590013638763875
49,6340,0.8660512956825681
50,6410,0.842748731196463
51,6420,0.8506112946366399
52,6440,0.8580807299048079
53,6470,0.8551766940056139
54,6490,0.8624178593053332
55,6610,0.8492969675321594
56,6710,0.8568321191555515
57,7140,0.8639905131977739
58,7220,0.8607909881339316
59,7300,0.867751438727235
60,7390,0.8643638673869197
61,7520,0.8611456746136201
62,7560,0.8580883914789855
63,7650,0.8651839719050363
64,7690,0.8719247733097845
65,7710,0.8783285346442953
66,7730,0.8844121079120805
67,7800,0.8901915025164765
68,7850,0.8956819273906527
69,7870,0.8908978316171665
70,7920,0.876352941228401
71,7940,0.8725352947630274
72,7980,0.878908530024876
73,8020,0.8749631041196786
74,8080,0.8612149501057875
75,8090,0.8581542031965446
76,8320,0.8552464936327637
77,8360,0.852484169547172
78,8690,0.8598599610698134
79,8760,0.8668669630163228
80,8820,0.8735236148655067
81,8960,0.8698474347182777
82,9000,0.8663550635784103
83,9070,0.8530373115915827
84,9090,0.8603854460120036
85,9170,0.8673661737114035
86,9310,0.8739978650258333
87,9320,0.8502979720725649
88,9420,0.8577830734689367
89,9450,0.8648939197954898
90,9540,0.8716492238057153
91,9620,0.8780667626154296
92,9710,0.8841634244846581
93,9720,0.8799552538564717
94,9780,0.8759574917596945
95,9790,0.8721596177677562
96,9840,0.8785516368793684
97,10020,0.8746240556314464
98,10050,0.8808928528498741
99,10140,0.8868482102073804
100,10440,0.8825058002930578
101,10570,0.8783805108744513
102,10630,0.8744614859267752
103,10660,0.8707384122264828
104,10680,0.8772014916151587
105,10720,0.8633414182264936
106,10780,0.8701743473151689
107,10830,0.8666656305454569
108,10930,0.873332349018184
109,10990,0.8796657315672748
110,11040,0.8756824455849574
111,11140,0.8818983233057096
112,11560,0.8778034077364706
113,11600,0.8739132379456935
114,11610,0.8802175760484089
115,11620,0.8862066972459884
116,11800,0.891896362383689
117,11930,0.8973015442645045
118,12060,0.9024364670512792
119,12320,0.9073146436987153
120,12440,0.901948912109826
121,12550,0.9068514665043347
122,12580,0.9015088937751644
123,12610,0.8964334496824526
124,12810,0.90161177719833
125,12870,0.9065311883384135
126,12940,0.9112046289214928
127,13000,0.9156443974754181
128,13160,0.9098621781976937
129,13190,0.914369069287809
130,13300,0.9186506158234186
131,13330,0.9227180850322476
132,13360,0.9065821819727281
133,13370,0.9112530728740917
134,13850,0.9156904192303872
135,13880,0.9099058988649142
136,13910,0.9144106039216685
137,13920,0.9086900743216315
138,14140,0.91325557060555
139,14260,0.9175927920752724
140,14360,0.9117131530675553
141,14400,0.9161274954141775
142,14650,0.9203211206434686
143,14660,0.9243050646112951
144,14770,0.9180898119767769
145,14850,0.9221853213779381
146,14890,0.9260760553090411
147,14910,0.9197722531396355
148,15230,0.9137836410787001
149,15270,0.9180944590247652
150,15520,0.9121897366695734
151,15680,0.9165802498360947
152,15690,0.9207512373442899
153,15840,0.9147136760731218
154,15880,0.9089779928655122
155,16040,0.9135290932222365
156,16050,0.9178526385611246
157,16270,0.9119600072291149
158,16320,0.9163620068676591
159,16370,0.9205439065242762
160,16400,0.9045167123901553
161,16450,0.9092908767706476
162,16480,0.9138263329321152
163,16600,0.908135016881556
164,16680,0.892728267229571
165,16750,0.8880918544641389
166,16820,0.8836872623369784
167,16910,0.8895028992201295
168,16950,0.8850277548551695
169,16970,0.8807763677084575
170,16990,0.876737549919081
171,17020,0.8629006736152198
172,17090,0.8697556399344588
173,17180,0.8762678579377359
174,17280,0.8824544650408491
175,17320,0.8883317417888067
176,17340,0.8839151552954128
177,17370,0.8797193981266885
178,17420,0.8857334282203541
179,17450,0.8914467568093364
180,17460,0.8968744189688695
181,17660,0.9020306980204261
182,17750,0.9069291631194049
183,17810,0.9115827049634346
184,17880,0.9160035697152629
185,17890,0.9202033912294997
186,17980,0.9241932216680246
187,18050,0.9279835605846234
188,18260,0.9215843831514386
189,18300,0.9255051639938667
190,18400,0.9092299069862663
191,18440,0.9037684122329994
192,18530,0.9085799916213495
193,18660,0.913150992040282
194,18690,0.9174934424382679
195,18750,0.9216187703163545
196,18770,0.9255378318005368
197,19110,0.92926094021051
198,19170,0.9327978931999845
199,19340,0.9361579985399853
200,19440,0.9293500992090324
201,19470,0.9328825942485808
202,19490,0.9362384645361518
203,19670,0.9394265413093442
204,19810,0.942455214243877
205,19830,0.9453324535316832
206,20010,0.948065830855099
207,20050,0.950662539312344
208,20130,0.9531294123467268
209,20300,0.9554729417293905
210,20360,0.9576992946429209
211,20600,0.9498143305068213
212,20730,0.9323236151735731
213,20760,0.9357074344148945
214,20770,0.9389220626941497
215,20790,0.9419759595594422
216,20810,0.9348771621775166
217,20850,0.9381333040686408
218,20890,0.9412266388652087
219,20960,0.9441653069219483
220,21110,0.9369570421718973
221,21450,0.9301091906593489
222,21490,0.9336037311263815
223,21560,0.9269235451661089
224,21650,0.9305773679078034
225,21770,0.9340484995124133
226,21870,0.9273460751328391
227,21890,0.9309787713761971
228,21910,0.9244298334034337
229,21960,0.9082083429253548
230,21990,0.9027979263751335
231,22070,0.8976580306524232
232,22110,0.8927751297158485
233,22310,0.8881363738261024
234,22360,0.8937295551347973
235,22370,0.8890430779741039
236,22390,0.8845909246714451
237,22420,0.8903613784378728
238,22460,0.8858433101120256
239,22470,0.8715511457985171
240,22540,0.8779735885085913
241,22570,0.8840749090831618
242,22620,0.8898711636290036
243,22810,0.8953776054475535
244,22910,0.8906087257712223
245,22970,0.8960782894826612
246,23030,0.8912743756045746
247,23070,0.8967106568243458
248,23190,0.9018751239831285
249,23200,0.9067813677839721
250,23450,0.9114422993947735
251,23540,0.9058701850210813
252,23890,0.9105766757700272
253,23900,0.9150478419815259
254,23920,0.8992954510745425
255,24360,0.9043306785208153
256,24440,0.8991141451908209
257,24510,0.8841584391233727
258,24530,0.8799505177632505
259,24550,0.885952991875088
260,24600,0.8716553434734264
261,24850,0.8780725762997551
262,24860,0.8841689474847674
263,24960,0.889960500110529
264,24980,0.8954624751050025
265,25030,0.8906893519457988
266,25170,0.8961548843485089
267,25230,0.9013471401310834
268,25320,0.9062797831245293
269,25470,0.9009657945643492
270,25510,0.9059175048361318
271,25530,0.9106216295943251
272,25780,0.9150905481146089
273,25900,0.9193360207088784
274,26000,0.9233692196734345
275,26060,0.9272007586897628
276,26230,0.9308407207552747
277,26290,0.9242986853135574
278,26300,0.9280837510478795
279,26440,0.9316795634954855
280,26500,0.9250955859167577
281,26550,0.9288408066209198
282,26780,0.9323987662898738
283,26850,0.9357788279753801
284,26900,0.9289898871726575
285,27030,0.9325403928140247
286,27100,0.9359133731733235
287,27250,0.9391177045146573
288,27370,0.9421618192889244
289,27400,0.9450537283244782
290,27540,0.9478010419082543
291,27890,0.9504109898128416
292,27900,0.9528904403221995
293,27910,0.9552459183060895
294,28090,0.957483622390785
295,28240,0.9496094418672921
296,28720,0.9521289697739275
297,28810,0.9545225212852311
298,28900,0.9567963952209695
299,28960,0.9389565766520138
300,29170,0.9320087484154596
301,29190,0.9354083109946866
302,29200,0.9186378966370451
303,29670,0.9227060018051928
304,29750,0.9265707017149332
305,29980,0.9302421666291865
306,30070,0.91373005948982
